8295078,2017,2/10/18,1/23/17,2315,1/23/17 23:15,1,4,709,0,MONUMENT BL,RT 680,0,,Y,B,-,Y,CC,4,680,-,R,17.865,R,4,N,Y,4,2,A,-,12,21453,A,N,A,C,A,B,H,-,C,A,,-,,-,-,,,CONTRA COSTA,PLEASANT HILL,-122.056908,37.9479477
90389410,2017,2/9/17,2/7/17,2315,2/7/17 23:15,2,6,704,0,SR-242 N/B,CONCORD AVE U/C,50,N,N,C,-,Y,,,,,,,,,,N,4,1,A,-,8,22107,,N,E,I,A,B,H,-,C,D,,A,1,-,-,,,CONTRA COSTA,CONCORD,-122.04321,37.97902
90384353,2017,2/2/17,1/24/17,2315,1/24/17 23:15,2,9,700,0,CAMINO TASSAJARA (BLOCK # 4600),LUSITANO STREET,12,N,N,A,-,N,,,,,,,,,,Y,4,1,A,-,8,22107,,N,E,J,A,A,H,-,C,A,,A,7,-,-,37.79949,-121.87828,CONTRA COSTA,UNINCORPORATED,-121.878209,37.79936146
8306646,2017,5/31/17,1/24/17,2314,1/24/17 23:14,2,7,4313,0,SENTER RD,MONTEREY RD,150,E,N,A,-,N,,,,,,,,,,N,3,2,A,-,3,22350,,N,D,C,A,A,H,-,C,D,,-,,-,-,,,SANTA CLARA,SAN JOSE,-121.8348185,37.27807
90386031,2017,2/6/17,1/14/17,2310,1/14/17 23:10,6,7,109,0,I-580  E/B TO FRUITVALE AVE,FRUITVALE AVE,8,W,N,C,-,Y,,,580,,,,R,,E,Y,4,4,A,-,7,21658,A,M,D,C,A,B,H,-,C,A,,A,1,-,-,37.79793,-122.21722,ALAMEDA,OAKLAND,-122.21722,37.79793
90375829,2017,1/24/17,1/2/17,2310,1/2/17 23:10,1,3,706,0,SR-4 E/B,I-80,693,E,N,B,-,Y,,,4,,,,,,E,Y,2,1,A,-,1,23152,A,N,E,I,A,B,H,-,C,D,,A,1,-,-,38.01411,-122.26643,CONTRA COSTA,HERCULES,-122.2663933,38.01423663
90376200,2017,1/24/17,1/21/17,2309,1/21/17 23:09,6,7,109,0,I-880 N/B,ADELINE ST,1500,N,N,C,-,Y,,,880,,,,,,N,Y,3,1,A,-,3,22350,,N,E,I,A,B,H,-,D,D,,A,1,-,-,37.80304,-122.28987,ALAMEDA,OAKLAND,-122.2898685,37.8030201
8326178,2017,4/6/17,1/13/17,2309,1/13/17 23:09,5,5,710,0,CANAL BL,WEST OHIO AV,10,S,N,A,-,N,,,,,,,,,,Y,3,1,A,-,1,23152,A,N,E,I,A,A,H,-,C,D,Y,A,8,-,-,,,CONTRA COSTA,RICHMOND,-122.3779251,37.93078527
8300112,2017,2/10/17,1/5/17,2309,1/5/17 23:09,4,4,711,0,RUMRILL BL,BROOKSIDE DR,0,,Y,-,-,N,,,,,,,,,,N,4,2,A,-,3,22350,A,M,C,C,A,-,-,-,-,A,,A,1,-,-,37.96364,-122.35498,CONTRA COSTA,SAN PABLO,-122.3551899,37.96321999
8314013,2017,3/3/17,2/9/17,2306,2/9/17 23:06,4,7,4313,0,WHITE RD,TULLY RD,71,N,N,B,-,N,,,,,,,,,,Y,4,3,A,-,1,23153,,N,C,C,A,A,H,-,C,-,Y,-,,-,-,,,SANTA CLARA,SAN JOSE,-121.8008627,37.33576695
